11	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	NEUTRAL	3.665	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST	A:attacking,B:helping,
21	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	NEUTRAL	3	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST	A:in,B:with,
43	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	NEUTRAL	4	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST	
53	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	NEUTRAL	4	A_neutral_B	B_contradicts_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST	A:playing,B:sleeping,
56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN	A:sitting,B:jumping,
75	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST	A:woman,B:man,
99	Four children are doing backbends in the gym	Four children are doing backbends in the park	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN	A:gym,B:park,
101	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	NEUTRAL	4	A_neutral_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TEST	A:outdoors,B:indoors,
119	Five children are standing in front of a wooden hut	Five children are standing in a wooden hut	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Five children are standing in front of a wooden hut.	Five children are standing in front of a wooden hut.	FLICKR	FLICKR	TRIAL	A:front,A:of,
130	A man is sitting in a field	A man is running in a field	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN	A:sitting,B:running,
133	A person is sitting and wearing a grass hat	A person is wearing a hat and is sitting on the grass	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A person wearing a hat sits on the grass with a mountain behind him.	A person wearing a hat sits on the grass with a mountain behind him.	FLICKR	FLICKR	TRAIN	B:on,
159	People are walking inside a building that has many murals on it	People are walking outside a building that has many murals on it	NEUTRAL	3.4	A_neutral_B	B_neutral_A	People walk outside of a building that has many murals painted on it.	People walk outside of a building that has many murals painted on it.	FLICKR	FLICKR	TRAIN	A:inside,B:outside,
170	A family is watching a little boy who is hitting a baseball	A family is watching a little boy who is missing a baseball	NEUTRAL	3.9	A_contradicts_B	B_neutral_A	A little boy hits a baseball while his family watches	A little boy hits a baseball while his family watches	FLICKR	FLICKR	TRAIN	A:hitting,B:missing,
171	A little boy is watching a family that is hitting a baseball	A family is watching a little boy who is hitting a baseball	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A little boy hits a baseball while his family watches	A little boy hits a baseball while his family watches	FLICKR	FLICKR	TEST	A:that,B:who,
180	A large group of Asian people is eating at a restaurant	A group of people in a large Asian restaurant is eating	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A large group of asian people are eating at a restaurant.	A large group of asian people are eating at a restaurant.	FLICKR	FLICKR	TEST	A:at,B:in,
212	Two dogs are playing by a tree	Two dogs are sleeping by a tree	NEUTRAL	3.565	A_neutral_B	B_neutral_A	Two dogs play by a tree.	Two dogs play by a tree.	FLICKR	FLICKR	TEST	A:playing,B:sleeping,
233	Three Asian kids are dancing and a man is looking	An Asian man is dancing and three kids are looking	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Three Asian kids dance while a man looks on.	Three Asian kids dance while a man looks on.	FLICKR	FLICKR	TRAIN	A:Three,B:three,
241	A woman is wearing an Egyptian headdress	A woman is wearing an Indian headdress	NEUTRAL	4	A_neutral_B	B_neutral_A	A woman wears an Egytian-like headdress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TRAIN	A:Egyptian,B:Indian,
242	A woman is wearing an Egyptian headdress	An Egyptian is wearing a woman's headdress	NEUTRAL	3.9	A_neutral_B	B_neutral_A	A woman wears an Egytian-like headdress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TEST	A:woman,B:woman's,
